Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Bathroom,Point Of Contact,Size-binned,Rent-binned,Furnished,Semi-Furnished,Unfurnished,Bachelors,Bachelors/Family,Family
2022-05-24,2,11000.0,600,1 out of 3,Carpet Area,Battarahalli,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-04,1,4000.0,250,2 out of 3,Super Area,Btm Layout,Bangalore,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-27,2,14000.0,1200,Ground out of 2,Super Area,Ramamurthy Nagar,Bangalore,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-07-09,2,24000.0,630,2 out of 5,Carpet Area,Halasuru,Bangalore,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-23,2,11000.0,840,1 out of 3,Super Area,"Dooravani Nagar, Dooravani Nagar",Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-23,2,10000.0,500,Upper Basement out of 4,Carpet Area,Marathahalli,Bangalore,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-31,3,62000.0,1680,4 out of 15,Carpet Area,Hebbal,Bangalore,3,Contact Owner,Small,Low,0,1,0,1,0,0
2022-06-23,2,12000.0,775,2 out of 3,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,1,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-19,2,18000.0,1000,3 out of 4,Super Area,Basaveshwara Layout,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-19,2,17500.0,900,Ground out of 2,Super Area,Hebbal Kempapura,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-08,1,6500.0,500,2 out of 5,Super Area,Aduru,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-20,1,16000.0,550,2 out of 5,Carpet Area,Chinnapanna Halli,Bangalore,1,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-20,3,30000.0,1250,15 out of 18,Carpet Area,Begur Road,Bangalore,3,Contact Agent,Small,Low,0,1,0,1,0,0
2022-06-09,2,28000.0,850,2 out of 6,Carpet Area,"Nanja Reddy Colony, Jeevan Bima Nagar",Bangalore,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-30,1,6500.0,150,1 out of 2,Super Area,"Subhash Nagar, Kengeri Satellite Town",Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-23,1,9000.0,445,1 out of 3,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,1,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-08,2,8500.0,500,2 out of 3,Carpet Area,"Electronics City Phase 1, Electronic City",Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-21,2,20000.0,750,2 out of 3,Carpet Area,"Venkateshappa Layout-Kammanahalli, Kammanahalli",Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-02,3,26000.0,2000,1 out of 2,Carpet Area,"Rbi Colony-Jayanagar, Jayanagar",Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-05,1,8000.0,500,1 out of 3,Super Area,Electronic City,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-05,1,8500.0,730,2 out of 4,Super Area,K R Puram,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-24,2,12500.0,750,1 out of 4,Super Area,Neelasandra,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-16,1,8000.0,600,3 out of 4,Super Area,Ramagondanahalli,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-09,3,52000.0,2710,4 out of 7,Super Area,Thanisandra,Bangalore,3,Contact Agent,Compact,Low,0,1,0,1,0,0
2022-06-12,2,18000.0,1190,3 out of 4,Carpet Area,Basava Nagar,Bangalore,2,Contact Owner,Small,Low,0,1,0,1,0,0
2022-07-07,1,15000.0,435,2 out of 5,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,1,Contact Agent,Small,Low,0,1,0,0,1,0
2022-04-29,2,12000.0,750,1 out of 3,Super Area,"Electronics City Phase 1, Electronic City",Bangalore,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-27,3,100000.0,1800,2 out of 4,Carpet Area,Bilal Nagar-Sagayapura,Bangalore,3,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-14,1,6000.0,1200,3 out of 5,Carpet Area,Lakshmipura,Bangalore,1,Contact Owner,Small,Low,1,0,0,1,0,0
2022-05-05,2,12000.0,600,2 out of 3,Super Area,Btm Layout,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-11,1,6500.0,450,2 out of 2,Super Area,Mathikere,Bangalore,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-16,3,13500.0,1100,3 out of 5,Super Area,Kudlu Gate,Bangalore,3,Contact Owner,Small,Low,0,0,1,0,0,1
2022-06-30,1,10000.0,700,1 out of 1,Super Area,Nagarbhavi,Bangalore,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-06-04,2,8500.0,650,8 out of 8,Carpet Area,Attibele,Bangalore,2,Contact Owner,Small,Low,1,0,0,0,0,1
2022-06-27,3,32000.0,1768,8 out of 13,Super Area,Yelahanka,Bangalore,3,Contact Agent,Small,Low,0,1,0,0,0,1
2022-06-20,3,42000.0,1600,3 out of 5,Carpet Area,"Hrbr Layout Block 2, Kalyan Nagar, Outer Ring Road",Bangalore,3,Contact Agent,Small,Low,0,1,0,0,0,1
2022-05-05,1,7500.0,400,2 out of 4,Super Area,C V Raman Nagar,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-23,2,16000.0,1200,1 out of 4,Super Area,Kengeri,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-10,1,5000.0,500,2 out of 4,Super Area,Rayasandra,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-04,2,14000.0,700,1 out of 2,Super Area,C V Raman Nagar,Bangalore,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-15,4,60000.0,2500,1 out of 2,Super Area,Basaveshvara Nagar,Bangalore,4,Contact Owner,Small,Low,0,1,0,0,0,1
2022-06-23,1,8500.0,500,2 out of 4,Super Area,Hulimavu,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-26,1,10000.0,500,Ground out of 3,Carpet Area,snv la,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-04-30,1,8500.0,500,1 out of 2,Super Area,"Rmv Extension, Armane Nagar",Bangalore,1,Contact Owner,Small,Low,0,1,0,1,0,0
2022-05-05,2,15000.0,1280,Ground out of 5,Carpet Area,"Ittamadu, Banashankari, Outer Ring Road",Bangalore,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-16,2,9500.0,200,Ground out of 2,Carpet Area,Kengeri Upanagara,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-12,2,25000.0,750,4 out of 5,Carpet Area,Koramangala,Bangalore,2,Contact Agent,Small,Low,0,0,1,0,1,0
2022-07-07,2,14000.0,900,2 out of 3,Super Area,K R Puram,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-05,3,20000.0,1200,Ground out of 2,Super Area,Basaveshwar Nagar,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-05,1,10000.0,800,1 out of 1,Super Area,Ramamurthy Nagar,Bangalore,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-10,2,10000.0,500,2 out of 4,Carpet Area,"Aecs Layout-Singasandra, Singasandra, Hosur Road",Bangalore,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-04-29,2,13000.0,1000,Ground out of 3,Super Area,"Jayanti Nagar, Hormavu",Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-02,2,13000.0,850,Lower Basement out of 2,Carpet Area,Sun City Layout,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,0,1
2022-06-12,2,24000.0,900,2 out of 5,Carpet Area,Koramangala,Bangalore,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-04,1,10000.0,600,3 out of 4,Super Area,"State Bank Of India Colony, Hegganahalli",Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-04,1,8000.0,600,2 out of 4,Super Area,Mahadevapura,Bangalore,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-07-04,1,6000.0,600,1 out of 4,Super Area,Begur,Bangalore,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-07-04,3,21000.0,1250,Ground out of 1,Super Area,Margondanahalli,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-23,3,25000.0,2000,1 out of 1,Super Area,Horamavu,Bangalore,3,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-19,2,8500.0,532,1 out of 2,Carpet Area,Tannery Road,Bangalore,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-06-08,2,13000.0,1000,1 out of 4,Super Area,Whitefield,Bangalore,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-20,1,5000.0,150,2 out of 3,Super Area,Rajarajeshwari Nagar,Bangalore,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-23,1,7500.0,500,1 out of 4,Super Area,Mahadevapura,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-04,1,13900.0,600,1 out of 4,Carpet Area,"Nallurhalli, Whitefield, Borewell Road",Bangalore,1,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-22,2,15000.0,1100,3 out of 3,Carpet Area,Uttarahalli,Bangalore,2,Contact Owner,Small,Low,1,0,0,1,0,0
2022-05-27,3,30000.0,1500,4 out of 4,Carpet Area,"Panduranga Nagar, bannerghatta main Road",Bangalore,3,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-06,2,13000.0,500,2 out of 5,Carpet Area,Koramangala,Bangalore,1,Contact Agent,Small,Low,0,1,0,1,0,0
2022-04-29,1,7700.0,600,1 out of 2,Carpet Area,Sir M V Nagar,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-14,2,25000.0,1200,5 out of 12,Super Area,Yelahanka,Bangalore,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-07-06,2,17000.0,1100,1 out of 4,Super Area,"Kaggadasapura, Indira nagar",Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-07,3,39000.0,1550,1 out of 13,Carpet Area,Hennur Main Road,Bangalore,3,Contact Agent,Small,Low,0,1,0,0,1,0
2022-07-02,2,18000.0,1050,1 out of 3,Carpet Area,Varthur,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-05,1,15000.0,500,1 out of 2,Super Area,Shanti Nagar,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-05,2,28000.0,1500,1 out of 4,Super Area,Shivaji Nagar,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-24,2,17500.0,1150,3 out of 4,Carpet Area,"Vijaya Bank Colony -Bilekahalli, Bilekahalli",Bangalore,2,Contact Agent,Small,Low,0,1,0,0,0,1
2022-05-23,4,75000.0,2000,Ground out of 2,Super Area,Hsr Layout,Bangalore,3,Contact Owner,Small,Low,1,0,0,0,1,0
2022-05-11,2,14000.0,110,1 out of 2,Carpet Area,RT Nagar,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-04-29,1,9000.0,500,3 out of 4,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-08,3,20000.0,1465,2 out of 4,Super Area,Sunkadakatte,Bangalore,3,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-04,2,12000.0,940,2 out of 5,Carpet Area,"Attur Layout, Yelahanka New Town",Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-23,2,12000.0,850,Ground out of 4,Super Area,Basaveshwar Nagar,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-02,2,24000.0,990,14 out of 30,Carpet Area,Tumkur Road,Bangalore,2,Contact Owner,Small,Low,1,0,0,0,1,0
2022-06-20,2,12000.0,750,Ground out of 3,Super Area,BBMP convertion layout,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-20,1,10000.0,500,2 out of 3,Super Area,Garvebhavi Palya,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-16,3,24000.0,1430,2 out of 3,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-08,1,9000.0,600,3 out of 4,Carpet Area,"Chelekare, Kalyan Nagar, Outer Ring Road",Bangalore,1,Contact Owner,Small,Low,0,1,0,0,0,1
2022-06-11,2,12000.0,900,1 out of 2,Carpet Area,"Jeevanhalli, Cox Town",Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-04-29,2,11000.0,1100,Ground out of 2,Super Area,Konanakunte,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-04-29,2,15000.0,900,1 out of 3,Carpet Area,"Venkatpura, HSR Layout",Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-23,1,5500.0,600,2 out of 3,Super Area,Byatarayanapura,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-23,2,18000.0,1000,Ground out of 4,Carpet Area,Kudlu Gate,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,0,1
2022-07-06,2,42000.0,1150,2 out of 4,Carpet Area,Koramangala,Bangalore,2,Contact Agent,Small,Low,1,0,0,1,0,0
2022-04-29,2,18000.0,1250,1 out of 4,Super Area,"Devarachikannahalli, Begur Road",Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-04-29,2,15000.0,1000,1 out of 4,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-04,1,6000.0,500,2 out of 3,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-14,3,30000.0,2000,1 out of 1,Super Area,"Jp Nagar Phase 6, J P Nagar, Outer Ring Road",Bangalore,3,Contact Owner,Small,Low,0,1,0,0,1,0
2022-04-30,2,12000.0,850,Ground out of 2,Super Area,Choodasandra,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-28,2,10000.0,990,Ground out of 2,Carpet Area,"Hbr Layout Block 2, HBR Layout",Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-27,2,9500.0,850,1 out of 2,Carpet Area,Raghavendra Layout,Bangalore,1,Contact Owner,Small,Low,0,1,0,1,0,0
2022-05-05,2,16000.0,1000,4 out of 5,Super Area,"Kaggadasapura, Indira nagar",Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-23,2,9500.0,650,4 out of 5,Super Area,Nagvarpalya Main Road,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-16,1,6500.0,400,2 out of 2,Carpet Area,whitefield,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-03,2,13500.0,1000,2 out of 2,Carpet Area,Mylasandra,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-04-29,2,25000.0,1350,12 out of 13,Super Area,Doddaballapur Road,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-23,2,9500.0,600,2 out of 3,Super Area,Hbr Layout,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-08,4,190000.0,4000,Ground out of 2,Super Area,Koramangala,Bangalore,5,Contact Owner,Compact,Low,1,0,0,0,1,0
2022-06-28,2,90000.0,950,4 out of 5,Carpet Area,Aarna Enclave,Bangalore,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-30,2,24000.0,777,4 out of 8,Carpet Area,Yelahanka,Bangalore,2,Contact Agent,Small,Low,0,1,0,0,0,1
2022-06-23,3,15000.0,1200,2 out of 4,Carpet Area,Electronic City,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-10,2,22000.0,1600,Ground out of 2,Super Area,Kodigehalli,Bangalore,3,Contact Owner,Small,Low,1,0,0,0,1,0
2022-06-20,3,34000.0,1500,14 out of 20,Carpet Area,Yeshwantpur,Bangalore,3,Contact Agent,Small,Low,0,1,0,1,0,0
2022-06-06,2,12500.0,570,1 out of 3,Super Area,Btm Layout Stage 4,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-03,3,28000.0,1800,18 out of 19,Carpet Area,Mysore Road,Bangalore,3,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-04,2,12000.0,1100,1 out of 3,Super Area,Arakere,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-23,1,8000.0,400,Ground out of 2,Super Area,"Lingarajapuram, Lingarajapuram, Hennur Main Road",Bangalore,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-11,1,7500.0,750,1 out of 1,Carpet Area,Bettadasanapura,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-03,2,34000.0,1400,5 out of 5,Carpet Area,HRBR Layout Block 1,Bangalore,2,Contact Agent,Small,Low,1,0,0,1,0,0
2022-06-27,3,32000.0,1789,8 out of 13,Super Area,Yelahanka,Bangalore,3,Contact Agent,Small,Low,0,1,0,0,0,1
2022-05-23,2,14500.0,650,1 out of 2,Carpet Area,"Maruthi Nagar-Kaggadasapura, Kaggadasapura",Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-04-29,2,16000.0,1200,2 out of 4,Super Area,Hulimavu,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-04-29,1,7500.0,460,3 out of 4,Super Area,Singahalli,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-24,2,7500.0,500,1 out of 2,Carpet Area,"Kammagondahalli, Jalahalli",Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-06,2,19500.0,1080,Ground out of 2,Carpet Area,Bda Layout -Lingarajapuram,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,0,1
2022-06-10,3,75000.0,2000,1 out of 5,Carpet Area,Dhobi Ghat- Rajajinagar,Bangalore,2,Contact Agent,Small,Low,1,0,0,1,0,0
2022-07-06,2,16500.0,1100,2 out of 3,Super Area,Hbr Layout,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-01,2,14500.0,1025,8 out of 9,Super Area,Chandapura,Bangalore,2,Contact Owner,Small,Low,0,0,1,1,0,0
2022-06-27,2,16000.0,650,Ground out of 3,Carpet Area,"Aradhana Layout, Arakere",Bangalore,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-23,2,8000.0,800,1 out of 3,Super Area,Mahadevapura,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-06,3,280000.0,2800,6 out of 30,Carpet Area,Rajajinagar,Bangalore,3,Contact Agent,Compact,Low,1,0,0,0,1,0
2022-05-19,2,21000.0,1100,3 out of 4,Carpet Area,Hennur Main Road,Bangalore,2,Contact Agent,Small,Low,1,0,0,1,0,0
2022-05-19,3,30000.0,1300,2 out of 4,Carpet Area,Maruthi Sevanagar,Bangalore,3,Contact Agent,Small,Low,0,1,0,1,0,0
2022-06-16,3,65000.0,2000,3 out of 6,Super Area,Frazer Town,Bangalore,3,Contact Agent,Small,Low,0,1,0,1,0,0
2022-06-16,3,180000.0,2500,4 out of 8,Carpet Area,Mahatma Gandhi Road,Bangalore,3,Contact Agent,Small,Low,0,0,1,1,0,0
2022-06-08,2,10000.0,600,2 out of 4,Super Area,Hommadevanahalli,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-07,2,12000.0,630,3 out of 5,Super Area,Whitefield,Bangalore,2,Contact Owner,Small,Low,1,0,0,0,1,0
2022-07-07,2,9000.0,550,Ground out of 2,Super Area,Hosakerehalli,Bangalore,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-01,2,22000.0,1025,3 out of 3,Super Area,Basaveshvara Nagar,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,0,1
2022-05-08,1,10000.0,500,1 out of 4,Carpet Area,Kadugodi Pattalamma Layout,Bangalore,1,Contact Owner,Small,Low,0,1,0,1,0,0
2022-05-25,3,48000.0,1286,8 out of 16,Carpet Area,Hebbal,Bangalore,3,Contact Agent,Small,Low,0,1,0,1,0,0
2022-06-22,1,11000.0,800,Ground out of 4,Super Area,Adugodi,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-09,2,11000.0,900,1 out of 3,Super Area,"Singasandra, Hosur Road",Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-23,3,40000.0,1618,2 out of 4,Super Area,Yelahanka New Town,Bangalore,3,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-08,1,10000.0,500,2 out of 5,Super Area,Marathahalli-Sarjapur Outer Ring Road,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-27,1,6500.0,450,Ground out of 2,Carpet Area,Garden City University,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-04-29,2,18000.0,850,3 out of 4,Super Area,Padmanabha Nagar,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-07,3,22000.0,1374,Ground out of 16,Super Area,Kanakapura Road,Bangalore,2,Contact Agent,Small,Low,0,1,0,0,0,1
2022-05-30,3,28000.0,1600,2 out of 4,Super Area,Banaswadi,Bangalore,3,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-10,1,6200.0,400,2 out of 3,Super Area,Nagarbhavi,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-12,3,110000.0,1500,6 out of 16,Carpet Area,Hebbal,Bangalore,3,Contact Agent,Small,Low,1,0,0,0,1,0
2022-06-15,2,5500.0,800,1 out of 4,Super Area,Kengeri Hobli,Bangalore,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-21,3,50000.0,1580,3 out of 3,Carpet Area,Koramangala 8Th Block,Bangalore,3,Contact Agent,Small,Low,0,0,1,1,0,0
2022-06-23,2,12000.0,700,Ground out of 2,Carpet Area,Agrahara Layout,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-08,2,11500.0,700,Ground out of 2,Super Area,Sadashiva Nagar,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-20,1,16000.0,550,1 out of 7,Carpet Area,"Doddanekundi, Kartik Nagar",Bangalore,1,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-16,1,11000.0,450,4 out of 4,Carpet Area,Krishna Reddy Layout -Domlur,Bangalore,1,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-18,4,150000.0,4550,3 out of 5,Super Area,"Jakkur Plantation, Jakkuru, Bellary Road",Bangalore,5,Contact Agent,Compact,Low,0,1,0,0,0,1
2022-06-30,1,9000.0,400,1 out of 1,Super Area,"Laxminarayana Layout, Munnekollal",Bangalore,1,Contact Owner,Small,Low,0,1,0,1,0,0
2022-07-07,1,6000.0,650,Ground out of 3,Super Area,Jnana Ganga Nagar,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-04,2,12000.0,700,1 out of 4,Super Area,Bagalur,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-27,2,16000.0,1333,2 out of 4,Super Area,"Ms Palya, Vidyaranyapura",Bangalore,2,Contact Owner,Small,Low,0,0,1,1,0,0
2022-05-31,3,35000.0,1500,1 out of 4,Carpet Area,Vasanth Nagar,Bangalore,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-27,1,9000.0,425,2 out of 5,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,1,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-27,1,8000.0,300,Ground out of 3,Super Area,Airport Road,Bangalore,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-30,2,13500.0,650,2 out of 3,Carpet Area,Vijayanagar,Bangalore,2,Contact Owner,Small,Low,0,0,1,0,0,1
2022-06-15,2,14000.0,800,Ground out of 2,Super Area,"Banashankari Stage 2, Banashankari",Bangalore,2,Contact Owner,Small,Low,0,1,0,0,0,1
2022-07-07,2,14000.0,1200,2 out of 3,Carpet Area,Srinivaspura,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,0,1
2022-05-05,1,4700.0,500,1 out of 4,Super Area,Chikkabanavara,Bangalore,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-05,2,17000.0,1000,3 out of 4,Super Area,Mavalli,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-04,2,11000.0,600,1 out of 3,Super Area,K R Puram,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-08,1,12000.0,600,2 out of 3,Super Area,Thanisandra,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-04-27,3,30000.0,1875,3 out of 3,Super Area,"Jp Nagar Phase 1, J P Nagar",Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-05,2,12000.0,1000,Ground out of 4,Super Area,K R Puram,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-05,3,21000.0,1300,3 out of 3,Super Area,Hormavu Ring Road,Bangalore,2,Contact Owner,Small,Low,1,0,0,0,1,0
2022-05-14,1,6000.0,350,3 out of 4,Super Area,Sunkadakatte,Bangalore,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-04,2,18500.0,900,2 out of 3,Super Area,Rajajinagar,Bangalore,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-04-27,1,4750.0,200,2 out of 2,Carpet Area,"Chamundeshwari Layout, Arakere",Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-23,2,15000.0,700,1 out of 5,Super Area,Yeshwantpur,Bangalore,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-14,2,17600.0,1000,1 out of 4,Carpet Area,Hosur Road,Bangalore,2,Contact Owner,Small,Low,0,1,0,1,0,0
2022-06-10,3,35000.0,1700,10 out of 13,Carpet Area,Thanisandra,Bangalore,3,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-27,2,8000.0,600,2 out of 3,Super Area,Ullal Main Road,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-05,1,7000.0,650,2 out of 5,Super Area,Rayasandra,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-05,2,15000.0,750,Ground out of 2,Super Area,Byrathi,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-10,3,30000.0,1750,1 out of 3,Super Area,"Chowdeshwari Layout, Yelahanka",Bangalore,3,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-02,3,100000.0,1950,3 out of 3,Carpet Area,Koramangala Block 3,Bangalore,3,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-23,2,18000.0,1065,2 out of 5,Carpet Area,Horamavu,Bangalore,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-05-23,2,8000.0,600,Ground out of 1,Super Area,Nagadevana Halli,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-23,2,9000.0,600,2 out of 4,Super Area,Laggere,Bangalore,1,Contact Owner,Small,Low,0,1,0,0,1,0
